Population within 1000m radius,id,name,functional_status,type,category,timestamp,lga_name,state_name,geometry_y,Status,geometry
11394,811,Yimirshika Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (854771.9737564987 1165416.4130348389),Valid,POINT (12.24083 10.52611)
974,812,Labilis Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (815737.9238081649 1130975.375597025),Valid,POINT (11.8817381 10.2184558)
8933,813,Magumeri Maternal and Child Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Magumeri,Borno,POINT (916757.415786009 1341984.2483852785),Valid,POINT (12.8274 12.1131)
10419,814,Husara Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (964021.8532896906 1163671.8386309985),Valid,POINT (13.23694 10.498610000000001)
1977,815,Nzuda Mairi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (908141.0306873203 1231749.9013834284),Valid,POINT (12.735100000000001 11.1194)
298,816,Zara Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (803717.1926666717 1180359.2144186127),Valid,POINT (11.77607379 10.66552406)
39695,817,Zaman Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (951835.3017660215 1313717.3475857528),Valid,POINT (13.14508057 11.853515630000002)
15437,818,Naf Medical Center,Functional,Secondary,Military and Paramilitary Clinic,2020-07-04T13:49:18,Konduga,Borno,POINT (943886.1248054061 1312199.434983743),Valid,POINT (13.07208252 11.84088135)
978,819,Laroh Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (806838.7607727717 1143741.0957233834),Valid,POINT (11.8016 10.334483330000001)
12606,820,Garu General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Chibok,Borno,POINT (921424.1369224589 1203867.3115435601),Valid,POINT (12.8532 10.866269999999997)
4873,821,Mbulatawiwi Despensary,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Hawul,Borno,POINT (839539.3574353289 1155031.4220821566),Valid,POINT (12.10089111 10.433715819999998)
50480,822,Rahama Maternity,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Jere,Borno,POINT (946113.0781110227 1310966.9735906282),Valid,POINT (13.09231 11.82947)
47917,823,Skin Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1011786.739151373 1278345.097913885),Valid,POINT (13.688476559999998 11.526123049999997)
1694,824,Leho B Dispensary Temp,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (917643.7106199049 1186163.1511472054),Valid,POINT (12.816669999999998 10.70694)
4503,825,Tampul Dispensary Temp,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (962256.9615767801 1172486.6045792475),Valid,POINT (13.22194 10.578329999999998)
734,826,Pahara Ecwa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (807746.4107381336 1126059.281207776),Valid,POINT (11.80847168 10.17468262)
5802,827,Kachallah Burari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (910226.3087813979 1233147.3197251721),Valid,POINT (12.75431667 11.13177333)
2549,828,Maina Baba Dispensary Temp,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (782601.5833223814 1144231.4218594432),Valid,POINT (11.580499999999999 10.34076)
60761,829,Gamboru Male Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Maiduguri,Borno,POINT (954378.182442178 1313457.548899749),Valid,POINT (13.16833 11.850829999999997)
7643,830,Uvu Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (952195.7438767379 1163431.8289731734),Valid,POINT (13.129125 10.497866669999997)
2706,831,Ngabu Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (831832.3476274773 1124019.4167179647),Valid,POINT (12.0279 10.154299999999997)
9775,832,Teachers Village Camp Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (946988.9900494374 1312670.483681463),Valid,POINT (13.10056 11.844719999999997)
14312,833,Can Center Idp Camp Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (950932.4179514572 1312667.7933863348),Valid,POINT (13.13667 11.844169999999997)
11430,834,Biu General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Biu,Borno,POINT (850612.1373937419 1173900.9500020426),Valid,POINT (12.20366600001887 10.603111999517637)
3954,835,Uda Adamawa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (947065.570904407 1163281.2983131376),Valid,POINT (13.082345000039936 10.497114000496989)
1767,836,Giwi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (949588.8383012232 1164621.6040351968),Valid,POINT (13.105504999776088 10.508907999510482)
4520,837,Eyn Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (951474.8881069464 1167230.6168615932),Valid,POINT (13.12300999966993 10.532220000349865)
2173,838,Gaidam Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (801378.8077656208 1156530.4817053073),Valid,POINT (11.752799999676599 10.450449999790976)
4094,839,Garubula Sabo Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (830389.629011829 1192776.4711504688),Valid,POINT (12.020755999740118 10.775413999588748)
4586,840,Ngulde Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (889032.2349302315 1178031.5635521621),Valid,POINT (12.554709999536783 10.636630000291573)
2458,841,Ngohi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (903805.8554478564 1182052.2406427204),Valid,POINT (12.689948000424636 10.671359999888976)
13075,842,Royal Specialist Hospital,Functional,Tertiary,Specialist Hospital,2020-07-04T13:49:18,Jere,Borno,POINT (954815.3154694675 1306866.8639983563),Valid,POINT (13.171430999569736 11.79132699985388)
6354,843,Dalori Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Jere,Borno,POINT (959882.1896575093 1305326.417633331),Valid,POINT (13.217602999941393 11.776748999948838)
8857,844,Lassa Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (967086.848108294 1183855.9856204265),Valid,POINT (13.26739499977276 10.680276999947635)
6129,845,Kubo Comprehensive Health Center,Functional,Primary,Comprehensive Health Center,2020-07-04T13:49:18,Shani,Borno,POINT (832185.4826586407 1118870.1231353092),Valid,POINT (12.030682000484376 10.107762999951262)
2034,846,Kilangar Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (911891.5180601308 1185908.515320533),Valid,POINT (12.764153999844154 10.705280999936692)
2220,847,Hoyo Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Magumeri,Borno,POINT (930498.3450672631 1329537.502176214),Valid,POINT (12.951740000299992 11.999039999985142)
836,848,Maimalar Cantonment Mrs Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Jere,Borno,POINT (948082.3895244959 1319296.3095958647),Valid,POINT (13.111469999829012 11.90433999964091)
4302,849,Buratai Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (837264.0328156479 1207184.1862536166),Valid,POINT (12.084880000309397 10.904909999575239)
5333,850,Yawi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (852133.0465642572 1173160.1612778516),Valid,POINT (12.217478000403503 10.596280999876283)
1608,851,Garambal Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (891204.7616098996 1183707.0212607337),Valid,POINT (12.575133000413246 10.687633999946398)
2622,852,Leho A Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (920872.700237573 1185878.6266897295),Valid,POINT (12.84609999952261 10.704010000073085)
4778,853,Kuburmbula Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (929238.8454712268 1205418.7934190717),Valid,POINT (12.924719999941201 10.879365000218572)
1647,854,Yimir Ali Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (937300.9848774383 1175858.5481190272),Valid,POINT (12.994798999556567 10.611721000367082)
4595,855,Dille Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (961569.0981483385 1191300.8119244373),Valid,POINT (13.21801000021793 10.748110000036997)
5833,856,Gamadadi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (779795.1538967844 1142087.0522773406),Valid,POINT (11.554735000100777 10.32158900023603)
4547,857,Tum Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (840221.0192152781 1174042.2247463253),Valid,POINT (12.10882999958227 10.605340000031502)
8534,858,Mainok Maternal and Child Health,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kaga,Borno,POINT (895853.8635554418 1310315.7190554312),Valid,POINT (12.631879999970183 11.829870000042092)
15076,859,Gubio Maternity and Child Hospital,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Gubio,Borno,POINT (911480.9941351998 1383866.1087601262),Valid,POINT (12.784429999620727 12.491679999710868)
3858,860,Pemi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (931931.7214383509 1193946.7689864738),Valid,POINT (12.947943999720794 10.775542999676418)
2148,861,Gatamwarwa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (935754.4714299471 1186035.7142461832),Valid,POINT (12.981889999785496 10.703720999876735)
7404,862,Wamdeo Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (952982.5291386128 1166039.9493187258),Valid,POINT (13.13660999991049 10.521299999930248)
55547,863,Abbaganaram Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953127.043812685 1314221.3715784177),Valid,POINT (13.156977999749587 11.857888000078956)
11532,864,Alpine Specialist Hospital,Functional,Tertiary,Specialist Hospital,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953428.8483346048 1309660.6092041077),Valid,POINT (13.159118652000078 11.816711426000044)
47925,865,Gamboru Maternal and Child Health,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Ngala,Borno,POINT (1067128.388579295 1372987.8242005098),Valid,POINT (14.210390260769698 12.36985887842001)
2794,866,Chata Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (831121.5670049356 1145718.382530755),Valid,POINT (12.023280000455088 10.350339999770938)
14568,867,Damboa Central General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Damboa,Borno,POINT (910991.9327382816 1237080.5043903936),Valid,POINT (12.761770000224317 11.167179999775328)
22969,868,Nigerian Police Hospital,Functional,Secondary,Military and Paramilitary Clinic,2020-07-04T13:49:18,Jere,Borno,POINT (959644.9018557254 1314507.5637952962),Valid,POINT (13.216700013339032 11.859584850097615)
10173,869,Gubio General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Gubio,Borno,POINT (910319.1862957801 1384773.7799154595),Valid,POINT (12.773880000452493 12.500020000377503)
18342,870,Gwoza General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Gwoza,Borno,POINT (1013926.1442383986 1228199.6561044569),Valid,POINT (13.700645298656037 11.073837064751984)
569,871,Briyel General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Bayo,Borno,POINT (783940.0229317007 1143827.4475454472),Valid,POINT (11.592682999884632 10.33701199971523)
11727,872,Briyel Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (785824.4582394232 1144943.868377184),Valid,POINT (11.609960999624207 10.34696000047444)
955,873,Juggal Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (797884.9046140484 1163350.9382678017),Valid,POINT (11.721450000375796 10.512339999842368)
1014,874,Sakdiya Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (803343.4924465535 1154669.3706373707),Valid,POINT (11.770581999758631 10.433482000262018)
1804,875,Kukwal Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (803778.4132516173 1178455.7381454061),Valid,POINT (11.776476999764043 10.648324000237094)
913,876,Chibra Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (807748.6177298601 1148243.694677017),Valid,POINT (11.81026299972001 10.375084999584033)
1902,877,Bahe Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (813277.193833794 1149156.618021424),Valid,POINT (11.860780000043974 10.382885999884422)
1815,878,Kubuku Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (820720.1611862523 1153868.4758131092),Valid,POINT (11.929084000453315 10.424833000385433)
557,879,Savira Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (821475.0164801478 1165244.2625519184),Valid,POINT (11.936939999791093 10.527520000156471)
2428,880,Jaki Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (829185.5548143047 1114830.7598922963),Valid,POINT (12.002999999675751 10.071530000332643)
1524,881,Fikka Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (829690.4448631406 1154779.9917525963),Valid,POINT (12.011010000118176 10.43230500046235)
1672,882,Eyn Zuwa,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Biu,Borno,POINT (830491.6168806588 1191915.60408877),Valid,POINT (12.02161000032038 10.767630000299903)
10121,883,Marama Kidang General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Hawul,Borno,POINT (846220.2045597932 1157426.8575095187),Valid,POINT (12.162059999749545 10.454749999712645)
2122,884,Hema 2 Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (846534.4875856428 1169903.538410578),Valid,POINT (12.166076000478256 10.567391000246916)
3575,885,Mandafuma Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (855674.178294511 1186016.1705724515),Valid,POINT (12.251030000200501 10.712032999524354)
3873,886,Azare Kirkutula General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Hawul,Borno,POINT (861015.1260352945 1165478.1303594494),Valid,POINT (12.29780199997987 10.526079000177331)
1124,887,Tasmukawu Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kaga,Borno,POINT (864838.797267353 1303777.97498015),Valid,POINT (12.34696000038042 11.7743480003175)
2830,888,Liya Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (870730.4769219123 1185039.528579197),Valid,POINT (12.388389999530146 10.701749999537524)
893,889,Gangshaffa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (872409.3546383355 1169389.7460990082),Valid,POINT (12.402148999878762 10.560294000424847)
3467,890,Kwajaffa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (874187.285329313 1159086.9479276494),Valid,POINT (12.417347000205098 10.46710400010659)
1319,891,Kimba Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (873917.906340319 1198526.2763819),Valid,POINT (12.41886000023311 10.823190000050317)
2750,892,Benisheikh General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Kaga,Borno,POINT (882174.6642127077 1307931.0713089132),Valid,POINT (12.506268999623387 11.809924000489673)
5301,893,Kauji Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (904870.6575269413 1222470.0519354607),Valid,POINT (12.704160000081 11.036019999658318)
744,894,Bwalagying Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (913600.1283108108 1204814.9585046095),Valid,POINT (12.781879999888131 10.87570999973519)
1405,895,Kalla Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (913699.2490095135 1238042.3950079256),Valid,POINT (12.78662500011211 11.175548000460992)
20906,896,Askira General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Askira Uba,Borno,POINT (927711.5974420786 1180714.8190419748),Valid,POINT (12.907899999512777 10.65663999988743)
428,897,Kwahyele Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (943200.0128189854 1161081.524015966),Valid,POINT (13.046849999922754 10.477720000319666)
19119,898,Olive Medical Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953646.7037618645 1307934.6690928312),Valid,POINT (13.160878000399464 11.80111499950442)
4116,899,202 Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (957254.7243975721 1307451.5973286545),Valid,POINT (13.193842999797598 11.796272000213776)
24347,900,Gajimer General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Nganzai,Borno,POINT (957633.9026712072 1383869.432027633),Valid,POINT (13.20813999951173 12.485420000457507)
22818,901,Mala Kyariri Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (959826.0430679503 1313796.818439843),Valid,POINT (13.218260000387831 11.853149999859735)
22,902,Kayamla Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (960348.8044194358 1295635.4473782023),Invalid,POINT (13.220542999939028 11.689283999520455)
610,903,Alau Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Jere,Borno,POINT (961869.0596043372 1300257.0902661702),Valid,POINT (13.235089999823002 11.730759999701487)
1733,904,Malari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (973954.3759487417 1296459.137620732),Valid,POINT (13.345149999603619 11.694850000302326)
5600,905,Auno Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (928697.0291275209 1312697.2218411935),Valid,POINT (12.933039999594257 11.84733999991209)
3982,906,Chobal Kura Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (936006.5873355732 1324697.0493285863),Valid,POINT (13.00157300015917 11.954654999827596)
874,907,Korko Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (785213.665591696 1136559.464586663),Valid,POINT (11.603765000414342 10.271252000034396)
1879,908,Danbitam Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (800923.7949284051 1156125.0266125966),Valid,POINT (11.748614999833137 10.446823000326615)
819,909,Guburde Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (803659.220102578 1143882.766605319),Valid,POINT (11.772604000132501 10.336014000037093)
2071,910,Kurngulung Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (807401.8980446407 1133240.3358547757),Valid,POINT (11.805898999754902 10.239579999514774)
3126,911,Bilazi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (813656.543819652 1142241.0825385721),Valid,POINT (11.86367400001029 10.320387000419316)
1665,912,Guba Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (813957.9900677565 1168516.8618836186),Valid,POINT (11.868600000357276 10.557709999669157)
713,913,Kwahara Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (816651.7349550496 1140433.9633561801),Valid,POINT (11.890847000473059 10.30382000016283)
1354,914,Charangi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (820658.2276015307 1177250.9831779283),Valid,POINT (11.9305150004256 10.63603799988931)
1979,915,Kogu Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (822612.0115089593 1152971.6592917182),Valid,POINT (11.946270000130367 10.416573999773844)
1578,916,Budam Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (824190.0829605157 1142460.2929014752),Valid,POINT (11.959776000307102 10.321500000175545)
881,917,Pitilla Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (828502.0134260647 1133620.3691121736),Valid,POINT (11.998351999517638 10.241294999680008)
3584,918,Wunje Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (829601.5599396644 1127530.813175246),Valid,POINT (12.007860999978561 10.186202000246908)
2500,919,Bakaina Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (832747.909505478 1122302.9351077452),Valid,POINT (12.036100000165675 10.13871999998514)
10772,920,Shani General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Shani,Borno,POINT (834602.1143794111 1132017.7422456753),Valid,POINT (12.05383700021713 10.226303000493656)
1597,921,Kashim Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (835725.8600103913 1121626.661947629),Valid,POINT (12.063186999570005 10.132359999663777)
5273,922,Madlau Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (838428.2869429549 1186910.6002950817),Valid,POINT (12.09364000026136 10.721715000102847)
2797,923,Hizhi Gwaram Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (842302.0087863165 1179379.7541605844),Valid,POINT (12.1283169998228 10.65335299965403)
3860,924,Army Barrack Health Center,Functional,Secondary,Military and Paramilitary Clinic,2020-07-04T13:49:18,Biu,Borno,POINT (849417.6827714604 1173008.059732164),Valid,POINT (12.1926799995544 10.595160000114674)
1055,925,Pama Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (855619.103293111 1160099.079968391),Valid,POINT (12.248058000181175 10.478016999521458)
1999,926,Whitambaya Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Hawul,Borno,POINT (855945.5900727402 1150629.1470840855),Valid,POINT (12.25014799960121 10.392476000400395)
963,927,Wassaram Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kaga,Borno,POINT (862297.8090770263 1288049.523982314),Valid,POINT (12.321980000407677 11.632620000019983)
8467,928,Tashan Alade Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (874411.7897147088 1161691.4808593544),Valid,POINT (12.41965299977187 10.490596000068306)
2617,929,Debiro Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (875792.9492069748 1172042.663730374),Valid,POINT (12.433288000036214 10.58391000047078)
3171,930,Kurkurpu Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (888138.6580992755 1151714.424309621),Valid,POINT (12.543841000151817 10.399160999942525)
562,931,Malaharam Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (910256.6225422868 1223775.6582592723),Valid,POINT (12.753512999614088 11.047196000251859)
532,932,Furram Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Magumeri,Borno,POINT (909844.3954782677 1356299.159286983),Valid,POINT (12.765831999984245 12.243140999840303)
922,933,Bazam Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gubio,Borno,POINT (911944.237215236 1393077.9565270094),Valid,POINT (12.789900000337354 12.574740000146221)
800,934,Chinguwa Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Magumeri,Borno,POINT (923611.8802379307 1334324.9981585466),Valid,POINT (12.889249999841011 12.043119999935413)
2679,935,Paya Yesu Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (928855.5272471749 1190907.9458358353),Valid,POINT (12.919518000406699 10.748481000289072)
2773,936,Molai General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Jere,Borno,POINT (947131.2460435219 1301456.7733488358),Valid,POINT (13.100358000278959 11.743551000392362)
525,937,Budingeri Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (976255.2571662548 1295091.784460289),Valid,POINT (13.366007999775661 11.682199999707223)
26991,938,Dikwa General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Dikwa,Borno,POINT (1035312.1416205663 1336000.101810147),Valid,POINT (13.912700000227174 12.042050000208404)
11670,939,Ngala General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Ngala,Borno,POINT (1064738.2765540527 1370152.0643700801),Valid,POINT (14.187990000273771 12.344739999872047)
6391,940,Dusuman Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (964417.3219598117 1320079.63791378),Valid,POINT (13.261179999549938 11.909179999929506)
2059,941,Jaradali Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bayo,Borno,POINT (795955.8121917874 1134226.8884824798),Valid,POINT (11.701578999874355 10.24937700017136)
16422,942,Bargu Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Shani,Borno,POINT (824719.2841059226 1116559.588114246),Valid,POINT (11.96243700011513 10.087513000192358)
6147,943,Kwaya Bura Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (841973.1470754623 1167240.5087966332),Valid,POINT (12.124202000026798 10.543757000188748)
2936,944,Kidang Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (844683.3490596912 1154650.648609049),Valid,POINT (12.147786000051042 10.429817999772524)
1067,945,Pelathabu Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (863803.5182856426 1167637.1856101404),Valid,POINT (12.323453000408504 10.545307000241847)
3077,946,Teli Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bayo,Borno,POINT (796322.5472101765 1155955.1053981245),Valid,POINT (11.70660700029066 10.445646999527582)
958,947,Lowalom Gora Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (816552.9744148683 1110340.7985535497),Valid,POINT (11.887502000200302 10.031999000473201)
3651,948,Maina Hari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (845628.0403059784 1182158.2602143337),Valid,POINT (12.158940999630317 10.678139000494978)
5468,949,Mandaragirau Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (864498.7700770269 1184045.773416457),Valid,POINT (12.331402999810166 10.693390999857968)
33212,950,Umoru Shehu Ultra Modern Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Jere,Borno,POINT (945648.9721305508 1311554.049915265),Valid,POINT (13.088138999976705 11.834827000410083)
3186,951,Mussa Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (951673.7560281071 1190470.5342866455),Valid,POINT (13.127644999819212 10.741834999773403)
